Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Chiedozie Ogbene,ie IRL,FW,27,5,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,0,15,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,Ipswich-Town
Massimo Luongo,au AUS,MF,31,11,2,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,Matches,Ipswich-Town
Ben Godfrey,eng ENG,DF,26,3,2,159,1.8,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,Matches,Ipswich-Town
Ali Al Hamadi,iq IRQ,FW,22,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0,0,0,0,0,0.24,0.05,0.28,0.24,0.28,Matches,Ipswich-Town
Marcus Harness,eng ENG,MF,28,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches,Ipswich-Town
George Edmundson,eng ENG,DF,26,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Ipswich-Town
Somto Boniface,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich-Town
Cieran Slicker,sct SCO,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich-Town
Tom Taylor,,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich-Town
Squad Total,,,25.8,38,418,3420,38,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57,513,935,920,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5,,Ipswich-Town
Opponent Total,,,26.3,38,418,3420,38,80,55,135,74,6,6,65,2,72.7,68.3,53.5,121.8,812,1726,1703,2.11,1.45,3.55,1.95,3.39,1.91,1.41,3.32,1.8,3.21,,Ipswich-Town
Mateus Fernandes,pt POR,MF,20,36,34,2909,32.3,2,4,6,2,0,0,8,0,4,4,3,7,76,145,108,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,27,33,33,2918,32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0,0.06,0.06,0,0.06,0.03,0.09,0.11,0.03,0.11,Matches,Southampton
Taylor Harwood-Bellis,eng ENG,DF,22,34,32,2825,31.4,1,0,1,1,0,0,9,0,1.8,1.8,1,2.8,29,125,9,0.03,0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,Matches,Southampton
Aaron Ramsdale,eng ENG,GK,26,30,30,2700,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Southampton
Jan Bednarek,pl POL,DF,28,30,30,2531,28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches,Southampton
Flynn Downes,eng ENG,MF,25,27,25,2151,23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,Matches,Southampton
