Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
James McConnell,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Tyler Morton,eng ENG,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Amara Nallo,eng ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Trey Nyoni,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Squad Total,,,27.2,38,418,3420,38,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,825,1924,1910,2.24,1.71,3.95,2,3.71,2.16,1.62,3.78,1.98,3.6,,Liverpool
Opponent Total,,,26.1,38,418,3420,38,39,28,67,38,1,2,84,2,38.6,36.9,29.4,66.2,683,1091,1074,1.03,0.74,1.76,1,1.74,1.02,0.77,1.79,0.97,1.74,,Liverpool
David Raya,es ESP,GK,28,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,Matches,Arsenal
William Saliba,fr FRA,DF,23,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,Matches,Arsenal
Declan Rice,eng ENG,MF,25,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,Matches,Arsenal
Thomas Partey,gh GHA,"MF,DF",31,35,31,2797,31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Matches,Arsenal
Leandro Trossard,be BEL,FW,29,38,28,2546,28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,Matches,Arsenal
Gabriel Magalhães,br BRA,DF,26,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,Matches,Arsenal
Jurriën Timber,nl NED,DF,23,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches,Arsenal
Martin Ødegaard,no NOR,MF,25,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,Matches,Arsenal
Gabriel Martinelli,br BRA,"FW,MF",23,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Matches,Arsenal
Kai Havertz,de GER,"FW,MF",25,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,Matches,Arsenal
Bukayo Saka,eng ENG,"FW,MF",22,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,Matches,Arsenal
Mikel Merino,es ESP,"MF,FW",28,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,Matches,Arsenal
Myles Lewis-Skelly,eng ENG,DF,17,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,Matches,Arsenal
Ben White,eng ENG,DF,26,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0,0.15,0.15,0,0.15,0.03,0.1,0.14,0.03,0.14,Matches,Arsenal
Riccardo Calafiori,it ITA,DF,22,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,Matches,Arsenal
Ethan Nwaneri,eng ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,Matches,Arsenal
Jakub Kiwior,pl POL,DF,24,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches,Arsenal
Jorginho,it ITA,MF,32,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches,Arsenal
Raheem Sterling,eng ENG,"FW,MF",29,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0,0.36,0.36,0,0.36,0.26,0.09,0.34,0.26,0.34,Matches,Arsenal
Gabriel Jesus,br BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0,3,3,0.7,3.7,15,19,57,0.44,0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,Matches,Arsenal
Oleksandr Zinchenko,ua UKR,"DF,MF",27,15,5,527,5.9,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.8,10,48,14,0,0.17,0.17,0,0.17,0.11,0.03,0.14,0.11,0.14,Matches,Arsenal
Kieran Tierney,sct SCO,"DF,FW",27,13,2,259,2.9,1,0,1,1,0,0,0,0,0.4,0.4,1.4,1.7,8,15,29,0.35,0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6,Matches,Arsenal
Nathan Butler-Oyedeji,eng ENG,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.94,0,0.94,0.94,0.94,Matches,Arsenal
Takehiro Tomiyasu,jp JPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,2.37,0,2.37,2.37,2.37,Matches,Arsenal
Reiss Nelson,eng ENG,FW,24,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Arsenal
Brayden Clarke,wls WAL,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Jimi Gower,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Ayden Heaven,eng ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Jack Henry-Francis,ie IRL,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Ismeal Kabia,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Maldini Kacurri,al ALB,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Neto,br BRA,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Josh Nichols,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Salah Oulad M'Hand,nl NED,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Jack Porter,eng ENG,GK,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Aaron Ramsdale,eng ENG,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Tommy Setford,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
Squad Total,,,25.8,38,418,3420,38,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1801,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,,Arsenal
Opponent Total,,,26.1,38,418,3420,38,34,24,58,31,3,3,83,2,34.4,32,24.5,56.6,618,938,927,0.89,0.63,1.53,0.82,1.45,0.91,0.65,1.55,0.84,1.49,,Arsenal
Joško Gvardiol,hr CRO,DF,22,37,36,3277,36.4,5,0,5,5,0,0,2,0,4.6,4.3,2.1,6.3,91,264,121,0.14,0,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17,Matches,Manchester-City
Erling Haaland,no NOR,FW,24,31,31,2736,30.4,22,3,25,19,3,4,2,0,22,18.8,3,21.8,24,20,124,0.72,0.1,0.82,0.62,0.72,0.72,0.1,0.82,0.62,0.72,Matches,Manchester-City
Bernardo Silva,pt POR,"MF,FW",29,33,29,2670,29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.3,0.13,0.3,Matches,Manchester-City
Ederson,br BRA,GK,30,26,26,2320,25.8,0,4,4,0,0,0,4,0,0,0,1.5,1.5,0,2,0,0,0.16,0.16,0,0.16,0,0.06,0.06,0,0.06,Matches,Manchester-City
Rúben Dias,pt POR,DF,27,27,25,2271,25.2,0,0,0,0,0,0,4,0,1.5,1.5,0.3,1.8,43,160,8,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches,Manchester-City
İlkay Gündoğan,de GER,MF,33,33,25,2223,24.7,1,6,7,1,0,0,1,0,3.2,3.2,3.5,6.7,64,127,96,0.04,0.24,0.28,0.04,0.28,0.13,0.14,0.27,0.13,0.27,Matches,Manchester-City
Mateo Kovačić,hr CRO,MF,30,31,25,2198,24.4,6,2,8,6,0,0,5,1,1.9,1.9,3.6,5.5,56,164,16,0.25,0.08,0.33,0.25,0.33,0.08,0.15,0.23,0.08,0.23,Matches,Manchester-City
Manuel Akanji,ch SUI,DF,29,26,23,2014,22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches,Manchester-City
Rico Lewis,eng ENG,"DF,MF",19,28,21,1893,21,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,39,107,78,0.05,0.1,0.14,0.05,0.14,0.07,0.02,0.08,0.07,0.08,Matches,Manchester-City
Sávio,br BRA,"FW,MF",20,29,21,1766,19.6,1,8,9,1,0,0,3,0,5,5,6.9,11.9,137,67,246,0.05,0.41,0.46,0.05,0.46,0.26,0.35,0.61,0.26,0.61,Matches,Manchester-City
Phil Foden,eng ENG,"MF,FW",24,28,20,1777,19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.35,0.1,0.46,0.35,0.46,0.26,0.24,0.5,0.26,0.5,Matches,Manchester-City
Kevin De Bruyne,be BEL,"MF,FW",33,28,19,1702,18.9,4,7,11,4,0,0,2,0,5.1,5.1,8,13.1,51,157,150,0.21,0.37,0.58,0.21,0.58,0.27,0.42,0.69,0.27,0.69,Matches,Manchester-City
Matheus Nunes,pt POR,"DF,MF",25,26,19,1674,18.6,1,6,7,1,0,0,4,0,1.2,1.2,4.4,5.6,63,79,175,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.3,0.07,0.3,Matches,Manchester-City
Jeremy Doku,be BEL,"FW,MF",22,29,16,1516,16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,Matches,Manchester-City
Omar Marmoush,eg EGY,"FW,MF",25,16,14,1175,13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64,Matches,Manchester-City
Stefan Ortega,de GER,GK,31,13,12,1100,12.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Manchester-City
Kyle Walker,eng ENG,DF,34,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches,Manchester-City
Nicolás González,es ESP,MF,22,11,9,760,8.4,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.5,9,50,11,0.12,0,0.12,0.12,0.12,0.06,0.01,0.06,0.06,0.06,Matches,Manchester-City
Nathan Aké,nl NED,DF,29,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,12,50,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,Manchester-City
Jack Grealish,eng ENG,"FW,MF",28,20,7,721,8,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Matches,Manchester-City
John Stones,eng ENG,"DF,MF",30,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches,Manchester-City
Nico O’Reilly,eng ENG,DF,19,9,6,528,5.9,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,26,0.34,0,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28,Matches,Manchester-City
Abdukodir Khusanov,uz UZB,DF,20,6,6,503,5.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,25,2,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,Manchester-City
James Mcatee,eng ENG,"MF,FW",21,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,0.77,0,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,Matches,Manchester-City
Jahmai Simpson-Pusey,eng ENG,DF,18,2,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Matches,Manchester-City
Rodri,es ESP,MF,28,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches,Manchester-City
Divin Mubama,eng ENG,FW,19,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,Manchester-City
Oscar Bobb,no NOR,FW,21,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,1,0,0,0,0,0,0,0.41,0.41,0,0.41,Matches,Manchester-City
Claudio Echeverri,ar ARG,FW,18,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches,Manchester-City
Vitor Reis,br BRA,DF,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Manchester-City
Max Alleyne,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Thorsten Brits,eng ENG,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Scott Carson,eng ENG,GK,38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Issa Kaboré,bf BFA,"DF,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Josh Wilson-Esbrand,eng ENG,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Jacob Wright,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
Squad Total,,,26.8,38,418,3420,38,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,1920,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13,,Manchester-City
Opponent Total,,,26.2,38,418,3420,38,42,32,74,38,4,4,88,2,47.7,44.6,37.2,81.7,546,912,904,1.11,0.84,1.95,1,1.84,1.26,0.98,2.23,1.17,2.15,,Manchester-City
Moisés Caicedo,ec ECU,"MF,DF",22,38,38,3351,37.2,1,2,3,1,0,0,11,0,0.8,0.8,3,3.8,43,215,37,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.1,0.02,0.1,Matches,Chelsea
Cole Palmer,eng ENG,"MF,FW",22,37,36,3191,35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,Matches,Chelsea
Levi Colwill,eng ENG,DF,21,35,35,3149,35,2,1,3,2,0,0,9,0,1.9,1.9,1.1,3,14,131,12,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.09,0.05,0.09,Matches,Chelsea
Marc Cucurella,es ESP,DF,26,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15,Matches,Chelsea
Enzo Fernández,ar ARG,MF,23,36,32,2947,32.7,6,7,13,6,0,0,8,0,6.1,6.1,6.8,12.9,60,212,126,0.18,0.21,0.4,0.18,0.4,0.19,0.21,0.39,0.19,0.39,Matches,Chelsea
Robert Sánchez,es ESP,GK,26,32,32,2880,32,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,Chelsea
Nicolas Jackson,sn SEN,FW,23,30,28,2220,24.7,10,5,15,10,0,0,7,1,12.3,12.3,4.3,16.6,47,38,129,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,Matches,Chelsea
Noni Madueke,eng ENG,FW,22,32,27,2033,22.6,7,3,10,7,0,0,3,0,9.6,9.6,4.2,13.9,154,69,226,0.31,0.13,0.44,0.31,0.44,0.43,0.19,0.61,0.43,0.61,Matches,Chelsea
Pedro Neto,pt POR,FW,24,35,24,2269,25.2,4,6,10,4,0,0,8,0,3.5,3.5,6.7,10.2,126,60,253,0.16,0.24,0.4,0.16,0.4,0.14,0.27,0.4,0.14,0.4,Matches,Chelsea
Malo Gusto,fr FRA,DF,21,32,19,1862,20.7,0,1,1,0,0,0,4,0,1.7,1.7,1.4,3.1,50,119,85,0,0.05,0.05,0,0.05,0.08,0.07,0.15,0.08,0.15,Matches,Chelsea
Jadon Sancho,eng ENG,FW,24,31,19,1764,19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,102,90,225,0.15,0.2,0.36,0.15,0.36,0.11,0.19,0.3,0.11,0.3,Matches,Chelsea
Tosin Adarabioyo,eng ENG,DF,26,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,Matches,Chelsea
Wesley Fofana,fr FRA,DF,23,14,14,1172,13,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0,0,0,0,0,0.03,0.03,0.07,0.03,0.06,Matches,Chelsea
Reece James,eng ENG,"DF,MF",24,19,12,1063,11.8,1,1,2,1,0,0,1,0,0.4,0.4,0.7,1.1,7,64,12,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.1,0.04,0.1,Matches,Chelsea
Trevoh Chalobah,eng ENG,DF,25,13,11,910,10.1,0,1,1,0,0,0,2,0,0.8,0.8,1.2,2,4,37,2,0,0.1,0.1,0,0.1,0.08,0.12,0.19,0.08,0.19,Matches,Chelsea
Roméo Lavia,be BEL,MF,20,16,11,797,8.9,0,1,1,0,0,0,4,0,0.3,0.3,0.7,1,3,31,7,0,0.11,0.11,0,0.11,0.03,0.08,0.11,0.03,0.11,Matches,Chelsea
Christopher Nkunku,fr FRA,FW,26,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches,Chelsea
Filip Jørgensen,dk DEN,GK,22,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Chelsea
Axel Disasi,fr FRA,DF,26,6,4,364,4,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches,Chelsea
João Félix,pt POR,"FW,MF",24,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches,Chelsea
Benoît Badiashile,fr FRA,DF,23,5,3,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,17,2,0,0,0,0,0,0,0,0,0,0,Matches,Chelsea
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25,13,2,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0,0.34,0.34,0,0.34,0.08,0.36,0.44,0.08,0.44,Matches,Chelsea
Joshua Acheampong,eng ENG,DF,18,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,8,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,Chelsea
Tyrique George,eng ENG,FW,18,8,1,183,2,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,9,3,22,0.49,0.49,0.98,0.49,0.98,0.1,0.36,0.46,0.1,0.46,Matches,Chelsea
Renato Veiga,pt POR,"DF,MF",21,7,1,181,2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,7,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches,Chelsea
Mykhailo Mudryk,ua UKR,FW,23,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1,1.2,7,5,12,0,0,0,0,0,0.15,0.58,0.73,0.15,0.73,Matches,Chelsea
Marc Guiu,es ESP,FW,18,3,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,Chelsea
Mathis Amougou,fr FRA,MF,18,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,Chelsea
Shumaira Mheuka,eng ENG,MF,16,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,5.06,0,5.06,5.06,5.06,Matches,Chelsea
Aaron Anselmino,ar ARG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Genesis Antwi,se SWE,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Marcus Bettinelli,eng ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Cesare Casadei,it ITA,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Samuel Rak-Sakyi,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Ishé Samuels-Smith,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Squad Total,,,23.7,38,418,3420,38,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1576,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07,,Chelsea
Opponent Total,,,26.5,38,418,3420,38,43,33,76,38,5,6,98,2,47.3,42.6,35.3,77.8,600,1206,1190,1.13,0.87,2,1,1.87,1.24,0.93,2.17,1.12,2.05,,Chelsea
Bruno Guimarães,br BRA,MF,26,38,38,3271,36.3,5,6,11,5,0,0,7,0,4.3,4.3,6.1,10.4,64,271,96,0.14,0.17,0.3,0.14,0.3,0.12,0.17,0.29,0.12,0.29,Matches,Newcastle-United
Dan Burn,eng ENG,DF,32,37,37,3330,37,1,1,2,1,0,0,11,0,2,2,0.9,2.8,12,75,14,0.03,0.03,0.05,0.03,0.05,0.05,0.02,0.08,0.05,0.08,Matches,Newcastle-United
Alexander Isak,se SWE,FW,24,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,0.75,0.2,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.7,Matches,Newcastle-United
Fabian Schär,ch SUI,DF,32,34,33,2934,32.6,4,0,4,4,0,0,9,1,3.7,3.7,0.4,4.1,18,118,22,0.12,0,0.12,0.12,0.12,0.11,0.01,0.13,0.11,0.13,Matches,Newcastle-United
Valentino Livramento,eng ENG,DF,21,37,32,2840,31.6,0,1,1,0,0,0,1,0,0.3,0.3,2.6,2.9,83,158,119,0,0.03,0.03,0,0.03,0.01,0.08,0.09,0.01,0.09,Matches,Newcastle-United
Jacob Murphy,eng ENG,FW,29,35,31,2360,26.2,8,12,20,8,0,0,4,0,5.7,5.7,8.9,14.6,79,83,231,0.31,0.46,0.76,0.31,0.76,0.22,0.34,0.56,0.22,0.56,Matches,Newcastle-United
Joelinton,br BRA,"MF,FW",27,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Matches,Newcastle-United
Sandro Tonali,it ITA,MF,24,36,28,2630,29.2,4,2,6,4,0,0,5,0,4.4,4.4,2.2,6.6,37,128,53,0.14,0.07,0.21,0.14,0.21,0.15,0.07,0.22,0.15,0.22,Matches,Newcastle-United
Nick Pope,eng ENG,GK,32,28,28,2520,28,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,Newcastle-United
Anthony Gordon,eng ENG,"FW,MF",23,34,28,2434,27,6,5,11,5,1,2,2,0,8,6.5,5,11.4,121,98,214,0.22,0.18,0.41,0.18,0.37,0.3,0.18,0.48,0.24,0.42,Matches,Newcastle-United
Lewis Hall,eng ENG,DF,19,27,24,2189,24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0,0.16,0.16,0,0.16,0.02,0.18,0.19,0.02,0.19,Matches,Newcastle-United
Harvey Barnes,eng ENG,FW,26,33,17,1755,19.5,9,4,13,9,0,0,0,0,7.2,7.2,4,11.2,93,83,192,0.46,0.21,0.67,0.46,0.67,0.37,0.2,0.57,0.37,0.57,Matches,Newcastle-United
Kieran Trippier,eng ENG,DF,33,25,14,1309,14.5,0,3,3,0,0,0,1,0,0.1,0.1,1.4,1.5,26,117,58,0,0.21,0.21,0,0.21,0.01,0.1,0.1,0.01,0.1,Matches,Newcastle-United
Joe Willock,eng ENG,"MF,FW",24,32,11,1086,12.1,0,2,2,0,0,0,4,0,1.6,1.6,2.1,3.8,38,41,86,0,0.17,0.17,0,0.17,0.14,0.18,0.31,0.14,0.31,Matches,Newcastle-United
